State,SETTLEMENTDATE,TOTALDEMAND,RRP,Precipitation,AirTemp,Humidity,WindSpeed
SA1,2000-01-07 06:30:00,1130.01667,14.65,0.0,12.8,62.0,9.4
SA1,2000-01-07 07:00:00,1203.46,15.88,0.0,13.2,61.0,11.2
SA1,2000-01-07 07:30:00,1266.31667,14.58,0.0,14.2,61.0,11.2
SA1,2000-01-07 08:00:00,1278.53833,14.85,0.0,15.4,56.0,1.8
SA1,2000-01-07 08:30:00,1305.96333,15.06,0.0,15.7,54.0,7.6
SA1,2000-01-07 09:00:00,1329.64333,15.61,0.0,16.4,54.0,7.6
SA1,2000-01-07 09:30:00,1337.565,14.99,0.0,17.5,51.0,7.6
SA1,2000-01-07 10:00:00,1345.32833,15.77,0.0,18.0,49.0,5.4
SA1,2000-01-07 10:30:00,1332.95833,15.62,0.0,18.2,47.0,5.4
SA1,2000-01-07 11:00:00,1361.185,16.49,0.0,20.0,45.0,7.6
SA1,2000-01-07 11:30:00,1383.75333,24.8,0.0,20.7,42.0,7.6
SA1,2000-01-07 12:00:00,1400.065,29.0,0.0,21.2,39.0,5.4
SA1,2000-01-07 12:30:00,1405.01333,35.14,0.0,22.5,35.0,9.4
SA1,2000-01-07 13:00:00,1433.39167,33.74,0.0,22.7,35.0,5.4
SA1,2000-01-07 13:30:00,1438.515,51.17,0.0,23.9,34.0,9.4
SA1,2000-01-07 14:00:00,1460.07833,51.17,0.0,24.0,36.0,14.8
SA1,2000-01-07 14:30:00,1426.90333,45.72,0.0,25.2,33.0,16.6
SA1,2000-01-07 15:00:00,1439.48,49.81,0.0,25.2,31.0,18.4
SA1,2000-01-07 15:30:00,1418.96333,54.16,0.0,25.8,30.0,20.5
SA1,2000-01-07 16:00:00,1408.67833,54.16,0.0,25.3,28.0,24.1
SA1,2000-01-07 16:30:00,1429.355,54.17,0.0,24.8,28.0,24.1
SA1,2000-01-07 17:00:00,1411.775,54.16,0.0,24.7,32.0,22.3
SA1,2000-01-07 17:30:00,1389.625,39.51,0.0,25.4,32.0,16.6
SA1,2000-01-07 18:00:00,1355.18167,39.51,0.0,25.4,28.0,9.4
SA1,2000-01-07 18:30:00,1323.26667,34.46,0.0,24.8,28.0,16.6
